[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3452 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2912 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3094 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6699 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5689 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5345 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7158 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 444 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7255 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6089 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 747 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6418 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7814 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4061 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3284 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4535 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8371 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1514 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 930 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4120 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5578 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1001 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8830 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6028 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1344 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3818 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 830 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7121 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1516 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7631 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6809 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 94 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5658 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3246 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7571 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3219 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5768 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5703 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4291 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3594 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7015 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8747 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7938 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2544 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 471 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3466 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6432 from 1001
